ANNEE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIREE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Skip&Die;;;08/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Afrique du Sud;Pays-Bas;;;;;;;2007;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Spitzer;;;08/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;France;;;;Lyon;;;;2006;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;St. Lô;;TournÈe des Trans;15/11/2012;Ubu;Rennes;KalÈidoscope;17/11/2012;Centre Culturel Jovence;LouvignÈ-du-DÈsert;;08/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;France;Etats-Unis;;;;;;;2012;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Strasbourg;High On Democracy;;07/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;France;;;;;;;;2012;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Superpoze;;TournÈe des Trans;24/11/2012;Le Coatelan;Morlaix;;08/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;France;;;;Caen;;;;2010;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Team Ghost;;;06/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2007;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;The 1969 Club;;TournÈe des Trans;16/11/2012;Le Fuzz'Yon;La Roche-sur-Yon;TournÈe des Trans;17/11/2012;La Carène;Brest;;01/12/2012;Le Normandy;Saint-Lô;;08/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;France;;;;;;;;2009;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;The Miracles Club;;;07/12/2012;Parc des Expositions - Hall 3;Bruz;;07/12/2012;Parc des Expositions - Hall 3;Bruz;;09/12/2012;Ubu;Rennes;;;;;;;;;Etats-Unis;;;;Portland;;;;2009;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;The Octopus;;Focus;08/12/2012;L'Etage;Rennes;;;;;;;;;;;;;;;;;France;;;;Douarnenez;;;;2009;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;The Right Ons;;Focus EuropÈen;07/12/2012;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;Espagne;;;;;;;;2006;2007;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;The Struts;;;08/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Derby;;;;2009;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Thumpers;;;07/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;Royaume-Uni;;;;;;;;2012;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;TNGHT;;;08/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;Canada;Royaume-Uni;;;;;;;2011;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;UZ;;;08/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2012;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Villanova;;;08/12/2012;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;Marseille;;;;2009;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Vitalic VTLZR;;;07/12/2012;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2000;2001;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Von Pariahs;;;07/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;France;;;;Nantes;;;;2009;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Wanted Posse;;KalÈidoscope;16/11/2012;Espace Bel-Air;Saint-Aubin-du-Cormier;Danse Hip-Hop;07/12/2012;Le Triangle;Rennes;Danse Hip-Hop;08/12/2012;Le Triangle;Rennes;;08/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;France;;;;;;;;;;;;;;;
